ID;Control Name;Description;Implementation (Free/Manual);Implementation (Automated/Tool);Mapping (ISO / GDPR / AI Act / NIST)
M3.MNT.01;AI Asset Inventory;Maintain a register of all AI systems (SaaS & internal models) used within the organization.;Google Sheets registry updated quarterly via surveys.;Sinaptic.AI / LayerX: Auto-discovery of AI apps visited.;"ISO 27001 A.5.9; ISO 42001 A.6.2; NIST MAP-1.1"
M3.MNT.02;Browser Security Baseline;Enforce security configurations on browsers (no pwd saving, HTTPS only, block malicious extensions).;Chrome/Edge Group Policy (GPO) manual config.;MDM / Sinaptic.AI;"ISO 27001 A.8.1; NIST MANAGE-4.2"
M3.MNT.03;Approved AI Whitelist;"Define and enforce a list of authorized (""Green"") and prohibited (""Red"") AI services.";Written policy (PDF) + Firewall blocking of top 10 risky sites.;Cloudflare Gateway / Sinaptic: Block access to non-whitelisted domains.;"ISO 27001 A.5.10; NIST MAP-1.5"
M3.MNT.04;Data Classification Scheme;Define data types (Public, Internal, Confidential, Restricted) prohibited for Public AI.;Data Handling Policy document with examples.;Sinaptic.AI autodetection/Confidential tags.;"ISO 27001 A.5.12; GDPR Art. 32; NIST MAP-3.1"
M3.MNT.05;MFA Enforcement;Require Multi-Factor Authentication for all business accounts (Email, Cloud, AI Tools).;Enforce 2FA in Google Workspace/M365 admin panel.;Okta / JumpCloud: Centralized SSO with forced MFA.;"ISO 27001 A.9.4; NIST MANAGE-2.4"
M3.MNT.06;Endpoint Encryption;Encrypt hard drives on all workstations to protect data if device is lost/stolen.;Enable BitLocker (Windows) / FileVault (Mac) manually.;Intune / Kandji: Enforce encryption compliance remotely.;"ISO 27001 A.8.1; GDPR Art. 32"
M3.MNT.07;Acceptable Use Policy (AUP);Legal sign-off from employees confirming they understand AI usage rules.;PDF Policy signed via DocuSign or physical paper.;Vanta / Drata: Automated policy acceptance tracking.;"ISO 27001 A.5.1; ISO 42001 B.6.2"
M3.MNT.08;Least Privilege Access;Restrict Admin rights. Regular users should not be Local Admins on their machines.;"Create ""Standard User"" accounts for daily work.";JumpCloud / Intune: Manage local admin groups.;"ISO 27001 A.9.2; NIST MANAGE-2.4"
M3.MNT.09;Patch Management;Ensure OS and Browsers are updated to the latest versions within 14 days of release.;"Enable ""Auto-Update"" on all OS and Browsers.";Automox / Intune: Force updates and reboot if non-compliant.;"ISO 27001 A.8.19; NIST MANAGE-4.1"
M3.MNT.10;AI Vendor Risk Review;Basic due diligence check before buying a new AI tool (Terms of Service, Data residency).;"Checklist: ""Does vendor train on our data? Is data in EU?""";Vanta: Vendor management module.;"ISO 27001 A.5.19; GDPR Art. 28; EU AI Act (Transparency)"
M3.MNT.11;External Sharing Config;"Restrict ""Anyone with the link"" sharing in Google Drive/OneDrive to prevent accidental exposure.";"Set Drive default link sharing to ""Restricted"" or ""Organization Only"".";Metasploit / G-Suite Admin: Audit sharing settings.;"ISO 27001 A.8.12; GDPR Art. 32"
M3.MNT.12;Mobile Device Security;Enforce PIN/Biometrics and remote wipe capability on mobile phones accessing company data.;Require PIN/FaceID on all work phones.;Intune (MAM) / Jamf: Enforce policies on BYOD devices.;"ISO 27001 A.8.1; NIST MANAGE-1.3"
M3.MNT.13;Screen Lock Policy;Computers must auto-lock after 5-10 minutes of inactivity.;OS Settings -> Screen Saver -> Wait: 5 min -> On resume, display logon screen.;GPO / Intune: Force screen lock timeout policy.;ISO 27001 A.11.2.9 (Clear Desk/Screen)
M3.MNT.14;Human Oversight Role;Officially assign a person (or role) responsible for AI decisions and risk acceptance.;Update Job Description of CTO/Tech Lead.;N/A (Organizational measure).;EU AI Act Art. 14
M3.MNT.15;Offboarding Procedure;Revoke all access (Email, AI tools, SaaS) immediately upon employee termination.;"Checklist: ""Revoke Email, Slack, GitHub, ChatGPT Team"".";Okta / Rippling: One-click deprovisioning.;"ISO 27001 A.5.8; NIST MANAGE-2.4"
M3.MNT.16;Network Shadow IT Scan;Identify unauthorized services via DNS logs (if Sinaptic is not installed everywhere).;Review Router/Firewall logs for high-volume domains.;Cloudflare Gateway / Cisco Umbrella: DNS Analytics.;"ISO 27001 A.8.16; NIST MAP-1.1"
M3.MNT.17;AI Transparency Labels;Notify users (employees/customers) when they are interacting with an AI system.;Disclaimer in email footer / chatbot welcome message.;Sinaptic.AI: notification when interacting with AI sites.;"EU AI Act Art. 50 (Transparency); ISO 42001 B.9.2"
